Time,Scan,Tvent [K],Tl8 [C],T6 [C],T4 [C],T2 [C],Pbypass [PSI],dPbypass [PA],dPtest [PSI],Pvent [PSI],Tbypass [K],Treturn [K],Tout [C],Tin [C],Preturn [PSI],dPreturn [PA],dPvent [PA],Ptest [PSI],PdPvent,DivTvent,mdotvent,dT,CVHeatFlux,PdPbypass,DivTbypass,mdotbypass,PdPreturn,DivTreturn,mdotreturn,PdivRvent,rhoVent,rhodPvent,MFRventcheck,PdivRbypass,rhoBypass,rhodPbypass,MFRbypass,PdivRreturn,rhoReturn,rhodPreturn,MFRreturn
6/27/2017 12:20:57:682,31,305.779,382.154,382.757,384.854,369.899,1289.6982,4162.8764,14.646428,1465.6023,410.701,304.006,346.921,340.083,1288.2294,4800.322,2960.787,1417.4203,529681.077770638,1732.23497287465,7.20282080161302,6.83799999999997,1.12685683922727,655349.187911096,1595.68442227094,6.91309796886353,754839.697979191,2482.97631618847,8.62353831698387,4914.01686097676,16.0704850920984,47581.2833443787,7.23900113209196,4330.09003150896,10.5431689514001,43889.9092089961,7.56292063823598,4325.21423994343,14.2273976169662,68296.0897834704,9.43420092889252
6/27/2017 12:20:58:546,32,305.772,382.203,382.81,384.854,369.921,1291.9891,3907.6008,14.751301,1467.9412,410.73,304.242,346.951,340.109,1295.4688,4725.623,2937.8134,1419.3844,526409.868914499,1721.57643248727,7.18062692569957,6.84200000000004,1.12404182500914,616254.629718305,1500.38864879192,6.70349197474428,747269.376476822,2456.16771016764,8.57685795689179,4921.78101463458,16.0962449623726,47287.7641401406,7.21663863269368,4337.69484557314,10.5609399010862,41267.9372062364,7.33353860333055,4349.24597023993,14.2953503140261,67554.436237019,9.38283629018675
6/27/2017 12:20:59:410,33,305.734,382.219,382.841,384.885,369.993,1294.28,3926.0238,14.609684,1467.6529,410.522,303.417,346.973,340.146,1310.5406,4590.0132,2955.8974,1418.0344,529546.214768349,1732.0488227294,7.20243377497317,6.827,1.12498366091887,620257.927546859,1510.90057913305,6.72693378312566,734269.636595036,2420.00163667506,8.51347840447238,4920.82398120026,16.0951153002291,47575.5094686475,7.23856190096905,4345.29965963733,10.5848155753829,41556.2378675639,7.35911032336028,4399.27793872942,14.4991148773122,66551.1286751792,9.3128994626153
6/27/2017 12:21:00:277,34,305.747,382.219,382.876,384.903,370.008,1298.7768,3729.6189,14.193633,1467.2363,410.438,303.388,347.018,340.179,1302.1348,5295.6511,3057.5632,1415.8247,547604.062324845,1791.03658359639,7.3240523068201,6.839,1.14599066326499,591275.841282216,1440.59721878144,6.5685648939682,841717.710841218,2774.39355162768,9.11555765054908,4919.44104631041,16.0899078202253,49195.910042513,7.36080085529196,4360.22712390195,10.6233514535739,39621.0523625916,7.18571858963688,4371.37425630735,14.4085272202834,76302.533023474,9.97187164285228
6/27/2017 12:21:01:141,35,305.737,382.209,382.851,384.928,370.002,1303.1497,3526.6779,13.913079,1467.0761,410.435,303.379,347.051,340.216,1274.806,5173.035,3155.8101,1415.8247,565138.193891831,1848.44553944021,7.4405071547259,6.83499999999998,1.16353136742397,560985.014481639,1366.80598506862,6.39812388283664,804971.808901274,2653.35375520808,8.91449584088239,4918.90925041662,16.0886946964765,50772.8652189569,7.47784407063282,4374.74329284048,10.6587968687867,37590.1433577393,6.99913214086143,4280.65425866569,14.1099227654705,72991.1243130759,9.75308992658448
6/27/2017 12:21:02:007,36,305.772,382.182,382.823,384.906,370.011,1312.5024,3657.4884,13.467943,1466.6597,410.512,303.424,347.073,340.242,1278.1945,5191.7128,3103.5103,1415.4562,555614.671813039,1817.08813041429,7.37712605820416,6.83099999999996,1.15294483546209,585968.431012297,1427.40877492569,6.53842866641082,810025.628296356,2669.61620800054,8.94177266220609,4917.52697944176,16.0823325204458,49911.6846252285,7.41415537405572,4405.79028070468,10.7324275068809,39253.7291102577,7.15233194935603,4291.90263810455,14.144901649522,73436.2669485642,9.78278474924387
6/27/2017 12:21:02:870,37,305.792,382.25,382.91,384.913,369.971,1322.5992,3707.7383,12.930182,1466.1791,410.574,303.456,347.103,340.272,1277.9795,4956.2293,3022.3732,1415.4562,540911.56815248,1768.88724411522,7.27862398021275,6.83100000000002,1.1375502954737,598588.658906612,1457.93123506752,6.60796492544757,773154.759373096,2547.83151222285,8.73543549811316,4915.93159176039,16.0760634410331,48587.8633056782,7.3151707746635,4439.30736422787,10.8124415190145,40089.7035365603,7.22809121040132,4291.18892950801,14.141058108945,70086.3265325558,9.55704983771101
6/27/2017 12:21:03:739,38,305.747,382.371,382.972,384.711,370.061,1329.2825,4231.0286,13.616832,1465.7306,410.701,303.728,347.144,340.301,1284.2219,4856.3556,2969.5845,1416.4387,531301.445960766,1737.71597419032,7.21420710064068,6.84300000000002,1.12946345624079,686521.912645373,1671.58568556047,7.0756041926177,761275.243800353,2506.43748288058,8.6641836096138,4914.44276243227,16.073560042886,47731.7947631736,7.25044147148013,4461.4930789405,10.8631171556449,45962.159370684,7.73940215478361,4311.91104366152,14.1966201458592,68943.8357464161,9.4788341151793
6/27/2017 12:21:04:609,39,305.756,382.387,383.022,384.813,370.123,1290.4227,3930.4758,14.868039,1466.5957,410.892,304.206,347.174,340.331,1290.3732,4868.5365,2944.1661,1416.6844,527064.627353437,1723.80796240609,7.1852792299253,6.84299999999996,1.12493447996049,619110.652070338,1506.74788526021,6.71768297,766840.285670743,2520.79277092083,8.68895966574725,4917.31452665023,16.0824792535559,47349.4902222725,7.22134713991109,4332.49506350053,10.5441212374554,41443.4133560846,7.34911360095781,4332.33074454459,14.2414375276773,69334.9584159665,9.50568309787738
6/27/2017 12:21:05:471,40,305.747,382.43,383.078,384.807,370.158,1292.4395,4034.5748,14.733313,1467.9412,410.684,303.702,347.203,340.364,1301.1704,4657.4086,2916.3068,1417.1747,522556.225083071,1709.11317227339,7.15458783125865,6.839,1.11947464472596,636501.086990821,1549.85606205944,6.81310201820267,739723.93508882,2435.69003526095,8.54102943458291,4921.78101463458,16.0975611032474,46945.4269088159,7.19046894906478,4339.18998209351,10.5657634144342,42628.3628146383,7.45343603337848,4368.17285830504,14.3830888776005,66987.9218331011,9.3434110266067
6/27/2017 12:21:06:335,41,305.766,382.455,383.103,384.745,370.217,1296.3359,3770.6807,14.402996,1467.5568,410.603,303.379,347.244,340.397,1320.1974,4845.8004,2972.0293,1415.0878,532401.366117323,1741.20525538262,7.22144642336225,6.84700000000004,1.13125772971456,596662.113048675,1453.13627286862,6.59708957131705,780900.228708658,2574.0088427632,8.78019631122119,4920.50497005548,16.0923875449052,47827.0472904133,7.2576722771995,4352.12437360763,10.5993486983963,39966.7595696131,7.21699942765105,4431.33440931086,14.6065957410067,70780.6474844084,9.60427236224358
6/27/2017 12:21:07:199,42,305.766,382.458,383.087,384.872,370.245,1299.782,3708.1173,14.187509,1467.3325,410.6,303.356,347.27,340.427,1273.3855,5237.9979,3139.6782,1415.0878,562347.579084039,1839.14359047127,7.42176207697933,6.84299999999996,1.16195847026867,588322.066060117,1432.83503667832,6.55084472114922,814172.399524003,2683.88427960549,8.96563598707038,4919.76038941268,16.0899524126707,50517.2728290997,7.45899845826749,4363.56396055886,10.6272868011663,39407.2260394662,7.16630246688575,4275.93880256626,14.0954482606781,73831.9283889905,9.80910329213717
6/27/2017 12:21:08:065,43,305.776,382.443,383.081,384.9,370.226,1306.2369,3720.857,13.53033,1466.7238,410.616,303.382,347.3,340.445,1274.9819,5254.2371,3098.1318,1415.8247,554676.011621843,1813.9945961156,7.3708437228694,6.85500000000002,1.15601029238605,593275.047835189,1444.84152550117,6.57823397411624,817720.417216689,2695.34915458626,8.98476504513407,4917.73976419077,16.0828180242752,49826.6899546201,7.40783989698962,4384.99148437174,10.67905655009,39735.242317798,7.19606594890414,4281.2381718849,14.1117079190094,74146.2592924228,9.82996167706051
